Country,Invoice_Month,O&D_Net_Count,PNR,Primary_Product_Code,Carrier_Code_Validating,Low_Cost_Indicator,Abonnement_SNCF,Carrier_Validating,Departure_Date,Arrival_Date,Ticket_Number,Origin_City,Destination_City,Origin_Country,Destination_Country,Origin_Region,Destination_Region,Directional_City_Pair,Class_Type,O&D_Class_of_Service_Invoice_Predominant,Round_Trip_Indicator,Exchange_Refund_Code,Reason_Code_Description,Booking_Date,Invoice_Date,Client_ID_Name,Level_4_Division_code,Level_4_Division_Desc,Level_12_CDR_Code,Customer_Defined_05,Customer_Defined_06,O&D_Mileage
FRANCE,202209 - septembre,0,,Air,,,,AIR FRANCE,2022-10-12,10/12/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,EXCHANGE,,7/18/2022,9/9/2022,ORANGE SA,AA,Orange France,CIT01,COLLOQUE_CONGRES,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-07,10/7/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/26/2022,9/27/2022,ORANGE SA,AA,Orange France,RAI03,REUNION_INTERNE,,352
FRANCE,202209 - septembre,0,,Air,,,,AIR FRANCE,2022-09-17,9/17/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,EXCHANGE,,8/30/2022,9/15/2022,ORANGE SA,AA,Orange France,RAI03,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-26,9/26/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/19/2022,9/19/2022,ORANGE SA,AA,Orange France,12025,REUNION_IRP_MANDATS_SOC,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-10-13,10/13/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/2/2022,9/14/2022,ORANGE SA,AA,Orange France,RAI05,FORMATION,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-18,9/18/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,8/23/2022,9/16/2022,ORANGE SA,AA,Orange France,EADXS,REUNION_IRP_MANDATS_SOC,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-10-05,10/5/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/23/2022,9/23/2022,ORANGE SA,AA,Orange France,ACSRS,ACTION_COMMERCIALE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-15,9/15/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/5/2022,9/5/2022,ORANGE SA,AA,Orange France,RIT01,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-07,10/7/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/29/2022,9/29/2022,ORANGE SA,AA,Orange France,EAJJM,ACTION_COMMERCIALE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-09-07,9/7/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,8/26/2022,9/7/2022,ORANGE SA,AA,Orange France,NL1Q7,REUNION_INTERNE,,352
